Bobby Portis,Chicago Bulls,5.0,PF,21.0,1391160.0
Derrick Rose,Chicago Bulls,1.0,PG,27.0,20093064.0
Tony Snell,Chicago Bulls,20.0,SF,24.0,1535880.0
Matthew Dellavedova,Cleveland Cavaliers,8.0,PG,25.0,1147276.0
Channing Frye,Cleveland Cavaliers,9.0,PF,33.0,8193029.0
Kyrie Irving,Cleveland Cavaliers,2.0,PG,24.0,16407501.0
LeBron James,Cleveland Cavaliers,23.0,SF,31.0,22970500.0
Richard Jefferson,Cleveland Cavaliers,24.0,SF,35.0,947276.0
Dahntay Jones,Cleveland Cavaliers,30.0,SG,35.0,
James Jones,Cleveland Cavaliers,1.0,SG,35.0,947276.0
Sasha Kaun,Cleveland Cavaliers,14.0,C,31.0,1276000.0
Kevin Love,Cleveland Cavaliers,0.0,PF,27.0,19689000.0
Jordan McRae,Cleveland Cavaliers,12.0,SG,25.0,111196.0
Timofey Mozgov,Cleveland Cavaliers,20.0,C,29.0,4950000.0
Iman Shumpert,Cleveland Cavaliers,4.0,SG,25.0,8988765.0
J.R. Smith,Cleveland Cavaliers,5.0,SG,30.0,5000000.0
Tristan Thompson,Cleveland Cavaliers,13.0,C,25.0,14260870.0
Mo Williams,Cleveland Cavaliers,52.0,PG,33.0,2100000.0
Joel Anthony,Detroit Pistons,50.0,C,33.0,2500000.0
Aron Baynes,Detroit Pistons,12.0,C,29.0,6500000.0
Steve Blake,Detroit Pistons,22.0,PG,36.0,2170465.0
Lorenzo Brown,Detroit Pistons,17.0,PG,25.0,111444.0
Reggie Bullock,Detroit Pistons,25.0,SF,25.0,1252440.0
Kentavious Caldwell-Pope,Detroit Pistons,5.0,SG,23.0,2891760.0
Spencer Dinwiddie,Detroit Pistons,8.0,PG,23.0,845059.0
Andre Drummond,Detroit Pistons,0.0,C,22.0,3272091.0
Tobias Harris,Detroit Pistons,34.0,SF,23.0,16000000.0
Darrun Hilliard,Detroit Pistons,6.0,SF,23.0,600000.0
Reggie Jackson,Detroit Pistons,1.0,PG,26.0,13913044.0
Stanley Johnson,Detroit Pistons,3.0,SF,20.0,2841960.0
Jodie Meeks,Detroit Pistons,20.0,SG,28.0,6270000.0
Marcus Morris,Detroit Pistons,13.0,PF,26.0,5000000.0
Anthony Tolliver,Detroit Pistons,43.0,PF,31.0,3000000.0
Lavoy Allen,Indiana Pacers,5.0,PF,27.0,4050000.0
Rakeem Christmas,Indiana Pacers,25.0,PF,24.0,1007026.0
Monta Ellis,Indiana Pacers,11.0,SG,30.0,10300000.0
Paul George,Indiana Pacers,13.0,SF,26.0,17120106.0
George Hill,Indiana Pacers,3.0,PG,30.0,8000000.0
Jordan Hill,Indiana Pacers,27.0,C,28.0,4000000.0
Solomon Hill,Indiana Pacers,44.0,SF,25.0,1358880.0
Ty Lawson,Indiana Pacers,10.0,PG,28.0,211744.0
Ian Mahinmi,Indiana Pacers,28.0,C,29.0,4000000.0
C.J. Miles,Indiana Pacers,0.0,SF,29.0,4394225.0
Glenn Robinson III,Indiana Pacers,40.0,SG,22.0,1100000.0
Rodney Stuckey,Indiana Pacers,2.0,PG,30.0,7000000.0
Myles Turner,Indiana Pacers,33.0,PF,20.0,2357760.0
Shayne Whittington,Indiana Pacers,42.0,PF,25.0,845059.0
Joe Young,Indiana Pacers,1.0,PG,23.0,1007026.0
Giannis Antetokounmpo,Milwaukee Bucks,34.0,SF,21.0,1953960.0
Jerryd Bayless,Milwaukee Bucks,19.0,PG,27.0,3000000.0
Michael Carter-Williams,Milwaukee Bucks,5.0,PG,24.0,2399040.0
Jared Cunningham,Milwaukee Bucks,9.0,SG,25.0,947276.0
Tyler Ennis,Milwaukee Bucks,11.0,PG,21.0,1662360.0
John Henson,Milwaukee Bucks,31.0,PF,25.0,2943221.0
Damien Inglis,Milwaukee Bucks,17.0,SF,21.0,855000.0
O.J. Mayo,Milwaukee Bucks,3.0,SG,28.0,8000000.0
Khris Middleton,Milwaukee Bucks,22.0,SG,24.0,14700000.0
Greg Monroe,Milwaukee Bucks,15.0,C,26.0,16407500.0
Steve Novak,Milwaukee Bucks,6.0,SF,32.0,295327.0
Johnny O'Bryant III,Milwaukee Bucks,77.0,PF,23.0,845059.0
